"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J9,J6";"HDMI_A_Female_685119134923";2;"685119134923_";;;
2;"R68,R20,R64,R62,R25,R27,R18";"0402-res";7;"R_27k_0402";;;
3;"J12,J5,J14,J13,J8,J7";"SolderJumper-0.6x1.4mm";6;"solder_jumper";;;
4;"J3,J2";"CHDMI-AMSS-01-C-Vertical-mod1";2;"CHDMI-AMSS-01-C-Vertical";;;
5;"U2";"TSSOP-8_W4.4mm";1;"TPS2110APW";;;
6;"CLK,IO,3V3,GND";"Testpoint_smd_0_75mm";4;"TP_SMD_0_75MM";;;
7;"R21,R32,R35,R59,R58,R23,R26,R29,R34,R36,R37,R39,R40,R31,R9,R10";"0402-res";16;"R_10k_0402";;;
8;"C27,C32,C40,C39,C38,C31,C33,C35,C2,C7,C8,C25,C24,C23,C22,C21,C20,C3,C12,C9,C10,C11,C19,C18,C16,C15,C14,C13";"0402-cap";28;"C_100n_0402_6V3";;;
9;"U6";"TQFP-48_7x7mm";1;"EFM32HG322F64";;;
10;"C5,C42,C34,C37,C26,C6";"0402-cap";6;"C_1u_0402";;;
11;"U3,U1";"QFN-32-1EP_5x5mm";2;"PTN3363";;;
12;"SW1";"1571983-5";1;"1571983-5";;;
13;"N2";"antmicro-logo_scaled_12mm";1;"antmicro_logo";;;
14;"N1";"OSHW-Logo2_7.3x6mm_Copper_Mask";1;"oshw_logo";;;
15;"C41,C4,C17";"0603-cap";3;"C_10u_0603";;;
16;"C30,C28";"0402-cap";2;"C_2u2_0402";;;
17;"R63,R69,R65";"0402-res";3;"R_4k7_0402";;;
18;"R60,R24,R5,R6,R14,R15,R19";"0402-res";7;"R_100k_0402";;;
19;"J10";"PinHeader_1x2_P2.54mm";1;"M20-9990246";;;
20;"D6,D5,D4,D3,D2,D1,D7";"SOD-523";7;"BAT54-02V-V-G";;;
21;"U7,U5";"PSON50P100X195X50-8N";2;"NTS0102GT";;;
22;"R67,R66";"0402-res";2;"R_330R_0402";;;
23;"IC1";"SOT-23-5";1;"INA180A1IDBVT";;;
24;"D9,D8";"LED_0603";2;"LG_L29K-G2J1-24-Z";;;
25;"C36,C1";"0603-cap";2;"C_4u7_0603";;;
26;"R56";"0402-res";1;"R_1R_0402";;;
27;"R54,R51,R55,R43,R53,R52,R50,R49,R48,R47,R46,R44,R45,R3,R42,R33";"0402-res";16;"R_49R9_0402";;;
28;"R30";"0402-res";1;"R_806k_0402";;;
29;"R38,R41,R4,R16";"0402-res";4;"R_100R_0402";;;
30;"C29";"0402-cap";1;"C_10n_0402";;;
31;"R13,R17";"0402-res";2;"R_12k4_0402";;;
32;"R2,R1";"0402-res";2;"R_15R_0402";;;
33;"U4";"SOT-753";1;"LP2985-33DBVR";;;
34;"J1";"USB_Micro_B_Female_0473460001";1;"0473460001";;;
